transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window
168,442.9236302395691,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
169,453.79803214260227,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
170,457.3499345520379,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
171,460.1738446064876,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
172,467.37594293626796,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
173,475.20481637943385,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
174,479.02443010189745,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
175,479.64401584020396,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
176,500.3443589192743,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
177,521.93825,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
178,534.96475,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
179,552.5361499999999,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
180,554.20975,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
181,556.9153,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
182,560.4336,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
183,568.2534,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
184,590.56005,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
185,612.01915,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
186,615.5110500000001,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
187,628.8722,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
188,632.2802999999999,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
189,635.16125,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
1,11.18636,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
2,14.61675,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
3,23.75625,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
4,29.43,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
5,32.67225,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
6,34.06775,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
7,35.53275,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
8,38.308,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
9,41.63589999999999,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
10,43.49125,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
11,47.25275,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
12,53.801,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
13,59.7829,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
14,65.48384999999999,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
15,72.25640000000001,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
16,75.623875,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
17,76.2457,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
18,84.127425,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
19,89.79012499999999,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
20,105.15378379352578,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
21,108.51467469932942,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
22,128.939,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
23,147.655,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
24,149.12,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
25,157.05,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
