window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.6-4,0.77,1.0,0.2,False,0.8,236,177,148,88,29,0.032687500000015746,0.12405293280633348,0.6271186440677966,0.8361581920903954,0.7167070217917675,117
0.6-4,0.68,2.0,0.0,False,0.8,235,177,147,88,30,0.02866121560224144,0.10080192173817717,0.625531914893617,0.8305084745762712,0.7135922330097088,118
0.6-4,0.75,1.0,0.2,False,0.8,239,177,149,90,28,0.04137500000001637,0.12628701815159216,0.6234309623430963,0.8418079096045198,0.7163461538461539,118
0.6-4,0.7,1.5,0.2,False,0.8,242,177,150,92,27,0.035874999999997215,0.11670028850089542,0.6198347107438017,0.847457627118644,0.7159904534606206,119
0.6-4,0.72,1.5,0.2,False,0.8,242,177,150,92,27,0.035874999999997215,0.11618928850089635,0.6198347107438017,0.847457627118644,0.7159904534606206,119
0.6-4,0.68,1.5,0.2,False,0.8,243,177,150,93,27,0.033974999999980326,0.1158989551675622,0.6172839506172839,0.847457627118644,0.7142857142857142,120
0.6-4,0.72,1.0,0.2,False,0.8,244,177,149,95,28,0.033125000000012506,0.12321452351900045,0.610655737704918,0.8418079096045198,0.7078384798099763,123
0.6-4,0.7,1.0,0.2,False,0.8,245,177,149,96,28,0.033125000000012506,0.12363452351899981,0.6081632653061224,0.8418079096045198,0.7061611374407583,124
0.6-4,0.68,1.0,0.2,False,0.8,247,177,149,98,28,0.03562499999999602,0.1259510705984777,0.6032388663967612,0.8418079096045198,0.7028301886792453,126
0.6-4,0.77,1.5,0.0,False,0.8,248,177,149,99,28,0.033474999999979715,0.11847912796840881,0.6008064516129032,0.8418079096045198,0.7011764705882353,127
0.6-4,0.77,1.0,0.0,False,0.8,247,177,148,99,29,0.032687500000015746,0.12405293280633348,0.5991902834008097,0.8361581920903954,0.6981132075471698,128
0.6-4,0.75,1.5,0.0,False,0.8,252,177,150,102,27,0.042474999999996044,0.1202357198262008,0.5952380952380952,0.847457627118644,0.6993006993006992,129
0.6-4,0.75,1.0,0.0,False,0.8,251,177,149,102,28,0.04137500000001637,0.12628701815159216,0.5936254980079682,0.8418079096045198,0.6962616822429907,130
0.6-4,0.7,1.5,0.0,False,0.8,255,177,150,105,27,0.035874999999997215,0.11670028850089542,0.5882352941176471,0.847457627118644,0.6944444444444444,132
0.6-4,0.72,1.5,0.0,False,0.8,255,177,150,105,27,0.035874999999997215,0.11618928850089635,0.5882352941176471,0.847457627118644,0.6944444444444444,132
0.6-4,0.68,1.5,0.0,False,0.8,256,177,150,106,27,0.033974999999980326,0.1158989551675622,0.5859375,0.847457627118644,0.6928406466512702,133
0.6-4,0.72,1.0,0.0,False,0.8,257,177,149,108,28,0.033125000000012506,0.12321452351900045,0.5797665369649806,0.8418079096045198,0.6866359447004609,136
0.6-4,0.7,1.0,0.0,False,0.8,259,177,149,110,28,0.033125000000012506,0.12363452351899981,0.5752895752895753,0.8418079096045198,0.68348623853211,138
0.6-4,0.68,1.0,0.0,False,0.8,261,177,149,112,28,0.03562499999999602,0.1259510705984777,0.5708812260536399,0.8418079096045198,0.680365296803653,140
