realization_id,sampled_age_ka,event_index,event_type,event_label,event_short_label,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sampled_minus_published_ka
1,107.26559230028158,30,weak_monsoon_start,Weak monsoon starts,Weak,106.35,1.3945749661275613,0.6972874830637806,106.05,107.74457496612756,0.6437388300180363,0.9155923002815882
1,116.92389770313471,31,weak_monsoon_start,Weak monsoon starts,Weak,117.45,1.4438351234747655,0.7219175617373828,116.00616487652523,118.89383512347477,0.9544997361036422,-0.5261022968652895
1,120.90398034659292,32,weak_monsoon_start,Weak monsoon starts,Weak,120.55,1.4579006969661032,0.7289503484830516,119.09209930303389,122.0079006969661,0.954499736103642,0.35398034659291966
1,132.8545526924339,33,weak_monsoon_start,Weak monsoon starts,Weak,133.25,1.516969192623077,0.7584845963115385,131.73303080737693,134.4,0.9125130835830653,-0.39544730756608715
1,135.9950275823983,34,weak_monsoon_start,Weak monsoon starts,Weak,135.55,1.5279198304098423,0.7639599152049211,134.4,137.07791983040985,0.9111282590027059,0.4450275823982963
1,138.84706246715177,35,weak_monsoon_start,Weak monsoon starts,Weak,139.35,1.5461856430266399,0.7730928215133199,137.80381435697336,140.89618564302663,0.9544997361036405,-0.5029375328482217
1,141.38459729581476,36,weak_monsoon_start,Weak monsoon starts,Weak,142.55,1.561736585655664,0.780868292827832,140.98826341434435,143.2,0.7746601577443465,-1.1654027041852544
1,143.2673513150966,37,weak_monsoon_start,Weak monsoon starts,Weak,143.85,1.5680987605223904,0.7840493802611952,143.2,145.41809876052238,0.7737059870385703,-0.582648684903404
1,147.84166290104986,38,weak_monsoon_start,Weak monsoon starts,Weak,147.05,1.5838701444347123,0.7919350722173562,145.4661298555653,148.63387014443472,0.9544997361036416,0.7916629010498468
1,150.66767611725209,39,weak_monsoon_start,Weak monsoon starts,Weak,151.05,1.603807611094401,0.8019038055472005,149.44619238890562,152.6538076110944,0.9544997361036409,-0.38232388274792584
1,158.73893875083775,40,weak_monsoon_start,Weak monsoon starts,Weak,158.95,1.643924433790433,0.8219622168952165,157.30607556620956,160.475,0.9454743408719088,-0.2110612491622419
1,160.78709463362958,41,weak_monsoon_start,Weak monsoon starts,Weak,162.0,1.659679769723106,0.829839884861553,160.475,163.575,0.9380960696463309,-1.2129053663704212
1,165.96003471586837,42,weak_monsoon_start,Weak monsoon starts,Weak,165.15,1.6761100715926909,0.8380550357963454,163.575,165.97500000000002,0.8074477656271476,0.810034715868369
1,167.60968712954795,43,weak_monsoon_start,Weak monsoon starts,Weak,166.8,1.6847812655684664,0.8423906327842332,165.97500000000002,168.48478126556847,0.813547719276353,0.8096871295479389
1,169.4480143868664,44,weak_monsoon_start,Weak monsoon starts,Weak,170.25,1.7030571391636347,0.8515285695818173,168.54694286083637,170.65,0.6579807209930174,-0.8019856131336098
1,171.94360800066923,45,weak_monsoon_start,Weak monsoon starts,Weak,171.05,1.7073232728923444,0.8536616364461722,170.65,172.75732327289236,0.6575612579619077,0.893608000669218
1,175.47733130898484,46,weak_monsoon_start,Weak monsoon starts,Weak,174.85,1.7277337792390772,0.8638668896195386,173.1222662207609,176.57773377923908,0.9544997361036429,0.62733130898485
1,180.00531062470753,47,weak_monsoon_start,Weak monsoon starts,Weak,179.65,1.7538646112816096,0.8769323056408048,177.8961353887184,181.40386461128162,0.9544997361036422,0.3553106247075277
1,186.90917824097002,48,weak_monsoon_start,Weak monsoon starts,Weak,187.75,1.7988596328496997,0.8994298164248499,185.9511403671503,189.5488596328497,0.9544997361036431,-0.8408217590299785
1,191.6693235050284,49,weak_monsoon_start,Weak monsoon starts,Weak,191.75,1.821503350399803,0.9107516751999015,189.9284966496002,192.5,0.7721367597690773,-0.08067649497161256
