age_ka,d18o_raw,d18o_precession_band,d18o_highfreq_lt1kyr,d18o_precession_plus_highfreq,d18o_precession_band_plus_mean,d18o_highfreq_lt1kyr_plus_mean
3.0,-9.002104607721046,0.2289284928219196,0.022599023744260816,-8.460105833258257,-8.482704857002519,-8.689034326080177
3.1,-8.737808219178083,0.21737850211496623,0.2861387613497539,-8.208116086359718,-8.494254847709472,-8.425494588474685
3.2,-8.981961122432983,0.2055757993131658,0.06813420288086278,-8.43792334763041,-8.506057550511272,-8.643499146943576
3.3,-8.92313981068919,0.1935299201938231,0.19231695204663612,-8.32578647758398,-8.518103429630616,-8.519316397777803
3.4,-8.984903238677928,0.1812506760259428,0.2338511218719872,-8.296531551926508,-8.530382673798496,-8.477782227952451
3.5,-9.624308705193855,0.1687481452898024,-0.2782718347017385,-8.821157039236375,-8.542885204534636,-8.989905184526178
3.6,-10.002749559844533,0.15603266509492442,-0.5253521117161819,-9.080952796445697,-8.555600684729514,-9.23698546154062
3.7,-9.351020436535519,0.14311482230411732,0.24420204418670538,-8.324316483333616,-8.568518527520322,-8.467431305637733
3.8,-9.710863339357708,0.1300054443715883,-0.02154311430253652,-8.603171019755386,-8.58162790545285,-8.733176464126975
3.9,-9.510882802724877,0.11671558990345932,0.24621301033271303,-8.348704749588267,-8.59491775992098,-8.465420339491725
4.0,-9.774614208258027,0.10325653894933572,0.025944340645804545,-8.582432470229298,-8.608376810875104,-8.685689009178635
4.1,-9.730368462621476,0.08963978303388816,0.09307783991028276,-8.528915726880268,-8.62199356679055,-8.618555509914156
4.2,-10.06733586046809,0.07587701493770954,-0.23688682870866223,-8.872643163595392,-8.635756334886729,-8.948520178533101
4.3,-10.056154594744886,0.06198011823700134,-0.22816548526315042,-8.877818716850587,-8.649653231587438,-8.93979883508759
4.4,-9.921385915318904,0.04796115661192674,-0.09699542564731496,-8.760667618859827,-8.663672193212513,-8.808628775471753
4.5,-9.184267729428287,0.03383236293374079,0.6436038176117392,-8.034197169278958,-8.677800986890698,-8.0680295322127
4.6,-10.03392545549836,0.019606128141070822,-0.19074016685269024,-8.882767388536058,-8.692027221683368,-8.902373516677129
4.7,-9.79900305388632,0.005294989915972652,0.07059635280674371,-8.635742007101722,-8.706338359908466,-8.641036997017695
4.8,-10.026312678553838,-0.009088378829370254,-0.12411367533408196,-8.84483540398789,-8.720721728653809,-8.83574702515852
4.9,-10.161620529997041,-0.023531181644206926,-0.22579734271640986,-8.960961874185056,-8.735164531468646,-8.937430692540849
5.0,-9.94967687912521,-0.03802051039772138,0.019207366599270775,-8.730446493622889,-8.74965386022216,-8.692425983225167
5.1,-9.876343217416995,-0.05254335729295284,0.12818776414655975,-8.635988942970831,-8.764176707117391,-8.583445585677879
5.2,-10.047127107274106,-0.06708662702441354,0.001491136236084073,-8.777228840612768,-8.778719976848853,-8.710142213588355
5.3,-9.933648525151163,-0.08163714906749994,0.17238468894172665,-8.620885809950211,-8.793270498891939,-8.539248660882713
5.4,-10.277924143331386,-0.09618169008762248,-0.10026191925520371,-8.908076959167264,-8.807815039912061,-8.811895269079642
5.5,-10.412175248977077,-0.11070696645681943,-0.1527330935394542,-8.975073409820713,-8.822340316281258,-8.864366443363894
5.6,-10.090822203350564,-0.12519965686547524,0.2526565126400672,-8.584176494049848,-8.836833006689915,-8.458976837184371
