variant_id,variant_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,147,165,364.451,364.35,0.10099999999999909,0.10099999999999909
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,110,45,192.645,192.75,-0.10499999999998977,0.10499999999998977
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,172,177,460.2585765824814,460.15,0.10857658248141888,0.10857658248141888
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,152,168,369.43949999999995,369.55,-0.11050000000005866,0.11050000000005866
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,192,83,555.5324499999999,555.65,-0.11755000000005111,0.11755000000005111
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,142,163,341.03,341.15,-0.12000000000000455,0.12000000000000455
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,189,185,552.8218,552.7,0.12180000000000746,0.12180000000000746
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,194,84,559.0235,559.15,-0.12649999999996453,0.12649999999996453
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,112,46,198.82,198.95,-0.12999999999999545,0.12999999999999545
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,212,93,629.9672499999999,630.1,-0.13275000000010095,0.13275000000010095
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,130,53,258.616,258.75,-0.13400000000001455,0.13400000000001455
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,191,186,554.3449,554.2,0.1449000000000069,0.1449000000000069
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,122,150,232.50444492844252,232.65,-0.1455550715574816,0.1455550715574816
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,98,39,169.4,169.55,-0.15000000000000568,0.15000000000000568
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,215,194,635.3567,635.2,0.15670000000000073,0.15670000000000073
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,174,178,467.51979658014943,467.35,0.16979658014940924,0.16979658014940924
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,102,141,175.01999999999998,174.85,0.1699999999999875,0.1699999999999875
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,105,142,179.82999999999998,179.65,0.1799999999999784,0.1799999999999784
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,113,146,201.335,201.15,0.18500000000000227,0.18500000000000227
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,19,103,30.6065,30.42,0.18649999999999878,0.18649999999999878
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,138,161,318.24300000000005,318.05,0.19300000000004047,0.19300000000004047
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,92,136,162.2,162.0,0.19999999999998863,0.19999999999998863
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,183,79,503.94836978568867,504.15,-0.201630214311308,0.201630214311308
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,47,116,68.4518,68.655,-0.20319999999999538,0.20319999999999538
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,157,171,378.446,378.65,-0.2039999999999509,0.2039999999999509
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,126,51,248.466,248.25,0.21600000000000819,0.21600000000000819
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,104,42,178.17000000000002,177.95,0.22000000000002728,0.22000000000002728
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,217,195,638.97825,639.2,-0.22175000000004275,0.22175000000004275
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,148,63,365.4225,365.65,-0.22749999999996362,0.22749999999996362
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,201,87,580.52925,580.3,0.22925000000009277,0.22925000000009277
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,108,44,190.415,190.65,-0.23500000000001364,0.23500000000001364
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,59,121,88.189,88.425,-0.2360000000000042,0.2360000000000042
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,84,133,146.81,147.05,-0.2400000000000091,0.2400000000000091
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,124,50,241.8965,241.65,0.2464999999999975,0.2464999999999975
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,118,148,221.3027136234012,221.05,0.25271362340117776,0.25271362340117776
